iscx_dnn_accuracy,iscx_dnn_val_accuracy,iscx_cnn_accuracy,iscx_cnn_val_accuracy,kaggle_im_dnn_accuracy,kaggle_im_dnn_val_accuracy,kaggle_im_cnn_accuracy,kaggle_im_cnn_val_accuracy,kaggle_bl_dnn_accuracy,kaggle_bl_dnn_val_accuracy,kaggle_bl_cnn_accuracy,kaggle_bl_cnn_val_accuracy,cicids2017_dnn_accuracy,cicids2017_dnn_val_accuracy,cicids2017_cnn_accuracy,cicids2017_cnn_val_accuracy,cicids2018_dnn_accuracy,cicids2018_dnn_val_accuracy,cicids2018_cnn_accuracy,cicids2018_cnn_val_accuracy
0.9863,0.992,0.9859,0.9927,0.9868,0.9989,0.9968,0.9994,0.9955,0.9999,0.9985,0.9999,0.9802,0.9943,0.988,0.9965,0.9983,1,0.9993,1
0.9916,0.9931,0.9916,0.9934,0.9987,0.9992,0.9994,0.9997,0.9998,0.9999,0.9999,1,0.9943,0.9964,0.9965,0.9974,1,1,1,1
0.9924,0.9912,0.9923,0.9937,0.999,0.9994,0.9996,0.9998,0.9999,1,0.9999,0.9999,0.996,0.9975,0.9977,0.9982,1,1,1,1
0.9931,0.9949,0.9931,0.9943,0.9993,0.9996,0.9997,0.9997,0.9999,1,0.9999,0.9998,0.9968,0.9978,0.9982,0.9968,1,1,1,1
0.9939,0.9957,0.9939,0.9949,0.9994,0.9996,0.9997,0.9998,0.9999,1,0.9999,1,0.9973,0.9984,0.9984,0.9984,1,1,1,1
0.9946,0.9959,0.9944,0.995,0.9995,0.9996,0.9997,0.9998,1,1,0.9999,1,0.9977,0.9983,0.9986,0.9986,1,1,1,1
0.9952,0.996,0.9947,0.9951,0.9995,0.9997,0.9998,0.9998,1,1,1,0.9999,0.998,0.9984,0.9987,0.9988,1,1,1,1
0.9955,0.9953,0.995,0.995,0.9996,0.9997,0.9998,0.9998,1,1,1,0.9999,0.9981,0.9989,0.9988,0.9987,1,1,1,1
0.9957,0.9959,0.9952,0.9952,0.9996,0.9998,0.9998,0.9998,1,1,1,1,0.9983,0.9985,0.9989,0.9988,1,1,1,1
0.996,0.9966,0.9953,0.9954,0.9996,0.9998,0.9998,0.9998,1,1,1,1,0.9984,0.9989,0.999,0.9992,1,1,1,1
0.9961,0.997,0.9956,0.9956,0.9996,0.9998,0.9998,0.9999,1,0.9999,1,0.9999,0.9984,0.9992,0.9991,0.9994,1,1,1,1
0.9962,0.9967,0.9957,0.9958,0.9997,0.9997,0.9998,0.9999,1,1,1,0.9999,0.9985,0.999,0.9991,0.9993,1,1,1,1
0.9963,0.9972,0.9959,0.9959,0.9997,0.9999,0.9998,0.9999,1,1,1,1,0.9985,0.999,0.9992,0.9994,1,1,1,1
0.9959,0.9968,0.9961,0.9959,0.9997,0.9998,0.9999,0.9999,1,1,1,1,0.9987,0.9991,0.9992,0.9991,1,1,1,1
0.9963,0.9965,0.9963,0.9962,0.9997,0.9998,0.9999,0.9999,1,1,1,1,0.9987,0.9993,0.9993,0.9977,1,1,1,1
0.9964,0.9968,0.9964,0.9967,0.9998,0.9998,0.9998,0.9999,1,1,1,1,0.9988,0.9993,0.9993,0.9994,1,1,1,1
0.9966,0.997,0.9966,0.9967,0.9997,0.9998,0.9999,0.9999,1,1,1,1,0.9988,0.9992,0.9994,0.9993,1,1,1,1
0.9967,0.997,0.9967,0.9967,0.9998,0.9998,0.9999,0.9999,1,1,1,1,0.9988,0.9993,0.9994,0.9996,1,1,1,1
0.9967,0.9972,0.9968,0.9969,0.9997,0.9998,0.9999,0.9999,1,1,1,1,0.9989,0.999,0.9994,0.9996,1,1,1,1
0.9967,0.9969,0.9969,0.997,0.9998,0.9998,0.9999,0.9999,1,1,1,1,0.9989,0.9992,0.9994,0.9995,1,1,1,1
0.9968,0.9967,0.997,0.9969,0.9998,0.9998,0.9999,0.9999,1,1,1,0.9999,0.9989,0.9993,0.9994,0.9995,1,1,1,1
0.9968,0.996,0.997,0.9971,0.9998,0.9999,0.9999,0.9999,1,1,1,1,0.999,0.9985,0.9994,0.9993,1,1,1,1
0.9969,0.9973,0.9971,0.9972,0.9998,0.9998,0.9999,0.9999,1,1,1,0.9999,0.999,0.9988,0.9995,0.9996,1,1,1,1
0.997,0.9973,0.9971,0.9974,0.9998,0.9999,0.9999,0.9999,1,0.9999,1,1,0.999,0.9995,0.9995,0.9996,1,1,1,1
0.997,0.997,0.9972,0.9975,0.9998,0.9998,0.9999,0.9998,1,1,1,1,0.999,0.9992,0.9995,0.9993,1,1,1,1
0.997,0.9976,0.9972,0.9976,0.9998,0.9999,0.9999,0.9999,1,1,1,1,0.999,0.9994,0.9995,0.9996,1,1,1,1
0.9971,0.9976,0.9973,0.9976,0.9998,0.9998,0.9999,0.9999,1,1,1,0.9999,0.9991,0.9993,0.9995,0.9996,1,1,1,1
0.9971,0.9973,0.9973,0.9978,0.9998,0.9998,0.9999,0.9998,1,1,1,1,0.9991,0.9991,0.9995,0.9997,1,1,1,1
0.9971,0.997,0.9973,0.9978,0.9998,0.9999,0.9999,1,1,1,1,1,0.9991,0.9994,0.9995,0.9995,1,1,1,1
0.9972,0.9976,0.9974,0.9979,0.9998,0.9999,0.9999,0.9999,1,1,1,1,0.9991,0.998,0.9995,0.9996,1,1,1,1
